爱	10557375
心	9578120
说	9243840
想	9237950
太	8261986
笑	7706879
吃	5916766
喵	5845532
️	4956170
做	4941998
中	4249405
赞	4242140
嗒	3878111
里	3548954
月	3440414
泪	3280062
新	3246255
跪	3082629
真	2348159
走	2292375
年	2291348
哭	2214731
祝	2172958
请	2083770
点	2065144
日	2021322
时	1914905
事	1911812
天	1780872
听	1772285
死	1732497
拍	1671916
求	1657133
舔	1654368
愿	1621805
买	1529293
找	1486947
完	1476146
元	1464409
钱	1450876
屏	1348905
妈	1337204
戳	1336178
睡	1303111
挺	1260568
话	1256909
站	1234676
亿	1231860
前	1230687
喝	1224043
送	1223017
玩	1222979
羞	1197367
唱	1181680
耶	1162234
团	1157333
坏	1150954
鸭	1128079
家	1102759
猫	1039810
转	1038488
问	1036249
越	1031925
正	1030333
甜	1021968
号	1014839
开	1003083
穿	992306
总	987698
榜	980286
陪	980043
忘	973732
棒	963022
酷	945171
⃣	937343
丶	935134
汗	928963
高	918883
逼	909620
发	896790
写	888665
差	886043
帮	872493
搞	869430
脸	852135
玖	841951
狗	827578
懂	826268
酱	821794
抽	805824
路	793017
图	787330
哒	785247
晕	775912
挖	770448
怒	767000
源	763388
允	761101
先	757339
‎	753778
梦	753363
超	749970
草	745081
•	744886
傻	726860
少	721261
女	715812
色	713548
顶	710378
名	707867
美	698213
手	690563
长	684208
君	679347
污	677616
跑	676221
字	667378
男	665806
鼻	664327
帅	645018
成	643349
博	642864
刷	638800
犟	626770
岁	620369
分	619281
噢	602166
黑	600230
歌	596350
回	596074
绿	588278
干	584904
酸	576803
右	572051
剧	569668
左	565428
放	562232
水	555879
花	544887
艹	530761
加	525644
微	524034
骂	523660
学	515077
约	509919
吐	508388
行	501385
强	499983
糖	497735
季	495784
住	495123
力	486637
抢	484391
讲	483864
哥	483700
早	480040
掉	477793
风	473079
浪	471164
疯	467545
错	466866
飞	466116
累	463376
换	462525
包	460969
化	460909
嗨	459242
粉	457347
王	454664
啵	454128
组	451487
秒	450520
次	444135
兔	443539
变	442823
喜	435116
卡	432716
赢	429894
妥	429143
画	428224
难	427144
腿	426945
茶	423633
期	420556
道	419655
子	418296
米	417970
困	417787
醒	413358
例	411749
抱	407232
张	406889
粽	404828
诶	402265
头	402208
鱼	399258
雨	396914
‍	395102
青	393076
饭	387858
鸡	385811
忙	382817
马	382613
肉	382185
吹	382048
气	381004
白	379305
追	377666
李	376612
鹿	373977
倒	370737
领	368846
生	366438
星	365696
党	363545
坐	360745
位	360453
呦	360362
红	359378
嘤	358390
菜	356928
份	355402
贴	348094
卖	343835
拉	343818
版	343210
进	341787
热	341227
神	337181
皆	333445
吖	330870
全	329513
圈	325360
选	323971
饿	323324
车	322978
滴	318904
煮	318561
崽	318158
万	315595
胖	315590
丢	314808
跳	314768
票	314645
感	311825
够	311550
款	311481
杀	311469
件	310904
未	308631
呆	306245
算	305204
远	305118
网	305088
咯	304243
群	300936
非	299869
叭	299425
害	298968
牛	296181
惹	295574
段	294166
赚	291919
猪	290741
洗	288656
弱	284487
喔	277112
̀	276491
́	275585
金	273869
鬼	273273
店	272923
俩	272841
低	272499
疼	271142
假	270051
钟	269614
抓	268802
入	267980
泡	267490
↓	265277
躺	264258
翻	263558
黄	260107
咩	258617
派	257788
易	256690
克	256655
操	253195
火	252752
林	252087
喊	250711
粥	250365
线	250102
暖	250065
味	249337
萌	248160
信	248083
磕	247986
书	247254
爆	245948
盐	244550
晚	242892
瘦	240845
受	239706
教	239472
憨	238945
酒	238377
病	237074
挂	237056
间	235789
背	234751
亲	233763
妖	232755
蓝	231182
演	229738
装	229308
嘴	228797
云	228063
山	227528
啾	226764
区	226459
拆	226281
处	225704
蚁	225640
蛋	224320
烊	223430
‌	221541
国	221303
弄	221129
冷	219058
蹭	219005
两	218821
急	218705
皮	218134
久	218118
斤	217020
苦	216450
戴	216085
级	216083
服	215148
应	214310
衰	213972
龙	213599
姐	213201
橙	212013
夸	211661
￣	210760
养	210635
♡	210489
改	208822
粮	208698
系	208615
炒	208593
ω	207739
型	206409
憋	204809
需	204494
原	203480
饼	203295
嗷	203279
收	203252
毛	202285
度	202028
券	202001
噗	201857
式	201777
周	201348
冰	201188
卷	201039
辣	200402
撩	199995
抹	199489
外	199375
面	199038
片	198838
踩	198611
双	197700
情	197586
瞎	196717
门	196399
宝	196244
酥	195857
短	195615
秀	195610
辽	195571
渣	195285
乱	195260
の	192502
捐	192399
动	191474
记	190768
揉	190740
刘	190120
趴	189838
藏	189510
丨	189507
鹅	189156
条	187733
杨	187212
丑	187003
雪	185879
伴	184817
汤	184768
搜	184692
称	184454
晒	183963
台	183455
་	182594
颜	182463
恨	182106
嗑	181881
配	181587
擦	180477
香	180367
夏	179549
斩	179434
量	178817
猜	177587
熊	177585
推	177141
圆	176942
眼	176808
接	176759
类	176647
鞋	175226
腰	174387
陈	173588
场	173271
补	172714
板	172330
药	172313
⊙	172289
主	172209
脚	172090
官	171927
炸	171924
い	171899
含	171803
´	171769
声	170789
戏	170518
破	169428
深	167375
夜	167229
防	167191
痛	167010
城	166026
蹲	165833
救	165652
搬	165237
✧	165146
班	164417
闹	164342
机	164206
落	164193
块	163832
楼	162850
文	162356
滚	160329
赵	160256
课	160056
安	159672
醉	159372
剪	159212
拼	159209
曰	159164
捏	158760
指	158487
爹	156955
节	156946
惨	156689
杯	156279
碗	156202
逛	155581
撸	155501
读	155225
و	154816
